sample,t_value
1,-7.985646131328903
2,-3.288296082655952
3,-6.555795702174455
4,-4.902804012725863
5,-6.889559744470992
6,-6.977583944686137
7,-5.673162466028797
8,-7.366921495158595
9,-6.017510019784894
10,-5.762684250626072
11,-5.078856909374879
12,-6.345334019415183
13,-5.356617488419398
14,-7.0728585734402465
15,-4.1522762763157735
16,-6.375493246386648
17,-5.852467849477062
18,-6.605906581068443
19,-6.111137322461919
20,-4.089841096785554
21,-5.009774324137883
22,-6.595253708144419
23,-6.331048132461845
24,-4.255325268298684
25,-7.816978512092866
26,-4.4883262269283515
27,-6.278886572342949
28,-4.224901984572164
29,-6.852084426918142
30,142.42861982466337
31,143.4960251749353
32,134.80921663611477
33,126.02140863600333
34,119.56033403339754
35,92.36269302030084
36,65.66433919641736
37,44.58123091311616
38,33.025833364549236
39,17.29267875672471
40,5.951388336871253
41,-2.1301580877459556
42,1.1508617282050568
43,-3.918912401138548
44,-9.250931354369985
45,-13.961487028133561
46,-11.487292701696061
47,-16.892027172790527
48,-17.47952091583296
49,-22.248139192426876
50,-13.147615315590349
51,-18.749034348584043
52,-18.32294554755489
53,-21.041625562783313
54,-18.128413107109925
55,-19.6988738400578
56,-20.982196449673385
57,-21.024227433172488
58,-18.602760266903026
59,-17.77301550701357
60,-19.110208854386944
61,-18.91928738756425
62,-22.019266660511814
63,-20.04746619083484
64,-20.32870195844753
65,-19.109144097864704
66,-20.090389179240123
67,-19.918464288250075
68,-16.83435087877924
69,-18.72232571960512
70,-19.962747340745025
71,-19.194702933487584
72,-17.358365520154738
73,-20.36021585297721
74,-17.725515480459997
75,-18.739051537937538
76,-16.178277905847725
77,-18.217282947544014
78,-21.1749493455184
79,-17.87965810153751
80,-16.893690232081454
81,-18.630466469648482
82,-18.314739401683273
83,-16.51186483023559
84,-16.573576311170555
85,-16.925044583633806
86,-19.55287934045038
87,-16.97836940495542
88,-17.71127935088176
89,-18.292732493605406
90,-16.906073964529163
91,-16.36979537617876
92,-14.777689226163009
93,-17.035782029780037
94,-16.99808744606488
95,-16.829637887739334
96,-15.924052573328595
97,-18.113140348221638
98,-14.948054154325508
99,-17.16977641296435
100,-15.132876574251629
101,-16.672987402635897
102,-16.391154816772957
103,-16.245978451927254
104,-14.985937252404797
105,-16.178186823896176
106,-15.608012735010087
107,-14.447619219562181
108,-13.81359717718635
109,-13.506764231895563
110,-16.283139888031737
111,-14.83277099832903
112,-15.45281596769464
113,-14.348315452679422
114,-14.018224342188558
115,-13.506848426308661
116,-12.493558433442722
117,-14.241132878138824
118,-15.027371955314976
119,-14.615415606924099
120,-11.825813034972773
121,-14.482480025303325
122,-12.699593492620393
123,-13.840309670838925
124,-11.523979465936488
125,-13.470120386736214
126,-15.203416259937677
127,-13.513055175307995
128,-13.019678642171236
129,-14.571010882545382
130,-14.403228091562786
131,-12.02174362419842
132,-12.491303004684857
133,-11.920728770708404
134,-14.044515727360555
135,-12.590736850485344
136,-13.695608412748255
137,-14.134344608717978
138,-12.261746672541237
139,-11.919921970331865
140,-10.77133077776003
141,-11.992694895557525
142,-11.067825407231362
143,-12.312356434186269
144,-10.70757941565236
145,-13.895669558582167
146,-9.150680349361144
147,-11.697309764453179
148,-9.741302282268745
149,-11.384719953346739
150,-8.064138131431521
151,-10.097729028801417
152,-11.297655471023479
153,-11.261156709431496
154,-11.61327833984268
155,-10.241812649724906
156,-11.627289049265272
157,-9.143712480475463
158,-11.447668311382781
159,-11.287856969058634
160,-12.760626386076888
161,-10.902436066670166
162,-8.69459986457543
163,-10.671489772475125
164,-8.850547182545577
165,-10.291105723445154
166,-8.913414547254089
167,-11.383570305493437
168,-9.995065315911205
169,-11.971957576138342
170,-8.640005612108974
171,-9.802750645613795
172,-8.205488889421174
173,-10.670291884114851
174,-10.206545731667477
175,-10.72010881673962
176,-9.743607549687791
177,-10.758583219789655
178,-7.631637135956977
179,-6.664375116481461
180,-9.465169975188516
181,-8.57670749395707
182,-11.13909969405339
183,-8.675837271861461
184,-10.02194384834669
185,-8.881038731086958
186,-8.539081766834855
187,-8.371462313280825
188,-8.317223768283075
189,-9.666189015937357
190,-7.9573493592096725
191,-9.195929376856135
192,-7.8296900931610605
193,-9.206119135044549
194,-5.417951372063687
195,-8.211951763479709
196,-6.998872715449547
197,-8.256127276714919
198,-9.19924764163376
199,-9.427084836213835
200,-8.794128431261635
201,-8.116924170364786
202,-7.6167897964573195
203,-7.292102460256701
204,-8.841959790632256
205,-6.320883621603931
206,-9.551444431673703
207,-7.983376662855262
208,-8.952682765918377
209,-7.269784977717392
210,-7.678637218922438
211,-8.323108804527367
212,-7.102612480113643
213,-6.4615225747173755
214,-5.872211152544607
215,-8.83944795934906
216,-5.858565782993542
217,-9.085385300654357
218,-5.244709917344687
219,-7.918928585869139
220,-5.500425876521329
221,-8.249049295369208
222,-7.188082453848671
223,-6.698407069278743
224,-6.848427677247937
225,-6.939165781517536
226,-6.675543600596404
227,-5.108784337199457
228,-6.718745013643321
229,-5.17639738006839
230,-9.226125506752592
231,-5.590536650807463
232,-7.8966707965463465
233,-7.3682827431853575
234,-6.716043964689521
235,-6.486224049281205
236,-5.3766269226322505
237,-6.152525980458805
238,-6.071268667366134
239,-6.771698138598217
240,-6.292011203183794
241,-7.243442811875436
242,-3.857861590116067
243,-6.161476892543051
244,-6.094208877808036
245,-5.439028627630984
246,-6.58499769165901
247,-5.87699728382574
248,-5.578956242708552
249,-7.483829274645011
250,-6.988664021990989
251,-5.319913280752287
252,-5.89214549550182
253,-4.582686888911684
254,-7.927046818209033
255,-5.994438343829983
256,-6.9350235714321995
257,-5.9102802381845585
258,-5.7713514765990075
259,-6.142638699716383
260,-4.440401864930098
261,-5.520070223312862
262,-4.869360349813274
263,-6.6048160843519454
264,-4.923823383120074
265,-6.965992140162065
266,-4.1969269427669715
267,-6.335569115948101
268,-4.087734301957343
269,-6.047169296544948
270,-5.942833560035863
271,-5.247768787172058
272,-5.206311923053112
273,-4.64172001530627
274,-4.440750258403344
275,-3.3865662199329125
276,-4.272391425373225
277,-3.841919731255103
278,-6.096986152745993
279,-3.4246443391706856
280,-5.3398105070487585
281,-5.252498642420489
282,-3.938979790406748
283,-4.351923662378712
284,-2.732179869013262
285,-5.080130857692437
286,-2.922975287258863
287,-4.776925187456477
288,-4.677570298244898
289,-6.291864607040205
290,-2.033011320775242
291,-5.956588827152072
292,-4.052289558451823
293,-5.140223517103845
294,-4.519393082590111
295,-4.953430131692609
296,-5.179274689693514
297,-4.550633073993468
298,-3.2334366811976363
299,-2.892219504339565
300,-4.110108005566243
301,-2.7832378058691627
302,-5.105498640488283
303,-4.030083677537231
304,-5.023547257767965
305,-4.061392161096371
306,-3.5022596118175224
307,-3.6560136745820975
308,-2.684256232994258
309,-4.4324164284859195
310,-2.4789940562894066
311,-4.3764401473083145
312,-2.4559896119805584
313,-5.079500916791832
314,-1.6148631653358467
315,-3.9029060515577254
316,-2.586251006943425
317,-5.135352220811878
318,-3.6721233008241336
319,-4.0659004577480236
320,-4.537309734304733
321,-4.620466672802255
322,-2.6408118752032204
323,-0.6312080431234236
324,-4.021584890463786
325,-2.804320621893873
326,-4.509418476736585
327,-3.0423856971430276
328,-5.1479409744477
329,-3.8035959733497524
330,-2.929913889390773
331,-2.456928311002846
332,-2.7658621743226504
333,-3.3253450838992094
334,-1.3969289475569466
335,-4.07193604956393
336,-4.016769223284376
337,-5.114108319703712
338,-0.5361596685515306
339,-3.3665707236749904
340,-2.8793136119439664
341,-3.4086007187516643
342,-3.069100207498525
343,-3.226401769769383
344,-4.349357646436707
345,-2.7072159553892283
346,-3.3461181189479636
347,-1.6733139597037816
348,-3.816239296020556
349,-1.9965742858803774
350,-4.471493158369809
351,-2.7620001540679757
352,-5.204609717833431
353,-3.877555787561037
354,-2.598452558864166
355,-2.6536777597648533
356,-2.378876354244466
357,-2.9918531990959205
358,-1.8817395481778305
359,-3.8787796229305145
360,-2.353100440020173
361,-4.84706242336731
362,-0.25109702732570793
363,-2.6042194297613146
364,-1.8708957045839536
365,-3.4603026823048504
366,-3.30323923458904
367,-2.7939274424029983
368,-3.53394733940336
369,-2.854068984235561
370,-1.6324535695429934
371,-0.8217679954743512
372,-2.683278628361499
373,-1.862506628484995
374,-3.125524310163505
375,-2.399859279331751
376,-4.276280076973853
377,-2.9323578828028003
378,-0.9797491968012242
379,-2.7251981280672353
380,-1.8901878482141934
381,-2.814779069298082
382,-0.7874966282417027
383,-2.9150571685550224
384,-3.394963833335235
385,-4.086495530170043
386,0.559051804187431
387,-2.8887150945412636
388,-1.6390027977210113
389,-2.7155981496703663
390,-2.992934371668256
391,-2.7446748856487617
392,-3.5897403088562223
393,-2.5386119070013837
394,-1.84588705697066
395,-2.4091444337930885
396,-3.3037019510758867
397,-1.5576287139504579
398,-2.8187972644502497
399,-2.4505713843886254
400,-3.073320184966329
401,-1.9143245871753698
402,-2.9193198858877594
403,-2.6328672267121367
404,-2.4293056863814253
405,-3.251107698568336
406,-2.4507162223245444
407,-3.400408097449807
408,-2.110446066945716
409,-3.4875146192482105
410,-0.898181093385005
411,-4.303242528363869
412,-2.158932821092175
413,-2.3613161485680685
414,6.033727391568529
415,6.15014531106517
416,5.589746809432025
417,4.876305649873375
418,104.48013271932749
419,94.08990975640067
420,77.83483530516557
421,60.817241345583405
422,46.25999113570019
423,31.53637126891243
424,17.968096002718177
425,10.519435083437683
426,8.365615447357007
427,2.5634735796907884
428,0.3686317081048762
429,-1.5483474780112285
430,-1.962526685652711
431,-5.146810818989814
432,-5.108766754141394
433,-6.382355175695464
434,12.804873821053194
435,7.036185335514337
436,4.898533146730518
437,1.7566969672843664
438,43.461330172621366
439,32.312786125033334
440,23.934470230640184
441,16.492080004209726
442,55.280404177545186
443,46.01872311407376
444,32.7687658848994
445,23.88444657549737
446,13.491599803843927
447,7.172115020546765
448,2.001465196794308
449,-0.8545625363940001
450,-0.31205934868099605
451,-2.133758040368541
452,-2.561721292535555
453,-5.417518542420336
454,19.112864703042273
455,13.848656471277758
456,11.796439238038728
457,3.47399036489024
458,48.45703878460897
459,42.31685398761135
460,34.60272184331733
461,24.24218682406178
462,51.31544808221115
463,46.99718235939143
464,37.969828068882066
465,27.911268693002377
466,16.480623654850536
467,13.3905281264465
468,9.562541686606824
469,5.560921063670344
470,83.095046784339
471,71.5480911639626
472,39.576157074847316
473,25.130257560443702
474,115.52585224506282
475,125.11429656722
476,118.72848141402382
477,96.71368276226883
478,455.8980640515525
479,466.43808778572367
480,435.72448047937144
481,348.2049121318844
482,8.026371823885702
483,-186.0171078244917
484,-145.37229931478944
485,-132.58701203653638
486,233.88921515028895
487,232.93550948382017
488,219.79082217276581
489,186.91521138990103
490,403.95938592815656
491,388.8673687653128
492,369.92302965820414
493,329.1430029089926
494,388.48773189505977
495,302.93513729460824
496,258.55142906168487
497,184.4923754395381
498,901.2233678355847
499,1343.2911499812956
500,1247.0196021742843
501,1126.9532871554452
502,451.3613380110547
