traces_per_group,max_abs_t
10,395.5606990926508
20,496.3865412659557
30,584.0378025020718
40,664.8353318819018
50,740.5368132464588
60,819.4860944175819
70,878.3233331130257
80,935.4206643752
90,1011.6447000588781
100,1058.7685671865936
110,1116.6942301667254
120,1179.6635907350203
130,1223.5818916269616
140,1258.0298070636752
150,1313.0218701577098
160,1373.2859464768965
170,1423.0425051997272
180,1480.8348439366237
190,1521.2288819847388
200,1560.1857523527017
210,1573.3593790117052
220,1601.9412275114619
230,1638.2666944765365
240,1676.9158085592826
250,1714.4744246553496
260,1739.469709737001
270,1779.2337295099508
280,1809.7586563811833
290,1855.672236162674
300,1874.832288263847
310,1895.0474978480192
320,1928.9472416499473
330,1965.349414397442
340,2002.9843762346723
350,2028.3536569836997
360,2048.0410274023725
370,2069.494238350727
380,2086.38595783968
390,2102.061413791658
400,2142.488503050105
410,2177.4993334402034
420,2208.094950436978
430,2243.030961276022
440,2260.875528183683
450,2266.656736310019
460,2287.2365302159005
470,2319.4663260645866
480,2344.6014803772136
490,2365.1029244176975
500,2384.7351425733614
510,2417.349685877028
520,2431.9943834714686
530,2455.3090483469846
540,2466.8490213512387
550,2493.131222532709
560,2494.8000554558685
570,2513.014072335678
580,2533.99679285528
590,2561.705660782201
600,2570.366077300451
610,2582.0147081826535
620,2599.715295214695
630,2616.8199250630523
640,2626.8568185051445
650,2644.812559077081
660,2663.9306126825677
670,2682.305608030029
680,2690.0335911208554
690,2704.0133720886042
700,2730.2329317797235
710,2753.3544438032773
720,2764.235841708525
730,2792.9489348499114
740,2813.9187599586894
750,2822.2939666478187
760,2837.519965578458
770,2840.467405222783
780,2850.6411183107152
790,2873.5159012821364
800,2882.258367672379
810,2900.4500950283596
820,2918.3355043096826
830,2937.8122258417507
840,2950.747859774077
850,2974.7541900552524
860,2985.7687938953923
870,3005.873086888733
880,3025.3323393916926
890,3039.4912060298416
900,3052.022580174341
910,3058.935731064463
920,3074.992485302006
930,3097.489130122554
940,3113.019421082146
950,3125.342058098735
960,3137.638983056297
970,3151.1212246225223
980,3168.140845560248
990,3182.02736894165
1000,3199.791685116478
