traces_per_group,max_abs_t
10,732.0215453503693
20,994.9752660596433
30,1243.119314181313
40,1507.6132488197625
50,1619.0070927542708
60,1760.8739646616295
70,1765.327941649437
80,1904.4857619088407
90,1937.0637210567904
100,2080.2399223037964
110,2169.664070770986
120,2279.3648567076502
130,2410.9184953222693
140,2500.928744490609
150,2561.3629399497695
160,2582.2137742745035
170,2654.2222053510186
180,2689.4393221683836
190,2733.3290232921936
200,2801.1236492299317
210,2811.0052907995737
220,2860.302642275659
230,2918.398967178385
240,2980.397333698685
250,3042.6318039362604
260,3072.0508460902265
270,3111.741137442245
280,3160.522289726605
290,3232.1495081976254
300,3294.9239558833297
310,3316.452368630701
320,3384.3648440437073
330,3425.6505173476985
340,3459.3984368463284
350,3507.4757128882607
360,3551.610553495655
370,3591.9044176433545
380,3646.59031149351
390,3690.7522357325097
400,3717.430874903872
410,3696.111581662857
420,3737.8561436268515
430,3755.6854888640446
440,3795.6015371676704
450,3827.1582641887276
460,3852.176620857367
470,3877.7403620837295
480,3897.0602670904605
490,3903.942077559604
500,3921.6828439844326
510,3944.613730321603
520,3960.7236481582295
530,3949.8158933200853
540,3964.387909517751
550,3996.300513332766
560,3991.736667271885
570,3967.0629889406064
580,3982.510660232664
590,3992.918100719522
600,4009.7447755452276
610,4024.191957761865
620,4055.1230730022
630,4080.9884993551586
640,4097.662615977876
650,4120.134193900065
660,4153.647554469866
670,4161.571734576989
680,4179.14789802899
690,4202.318373153986
700,4233.026784800858
710,4259.452104615766
720,4278.841744769245
730,4244.242980025586
740,4265.8539123574255
750,4271.32067263478
760,4291.795778064333
770,4315.154204249163
780,4340.8821576424825
790,4365.939314003584
800,4390.503748078825
810,4416.324405881296
820,4432.767657908962
830,4443.958689505274
840,4450.021540458165
850,4461.3481586524085
860,4273.765838057077
870,4046.4635460804
880,3898.2245115200094
890,3783.9449750322997
900,3706.471279799807
910,3635.145879794825
920,3590.9065860177543
930,3546.418718430613
940,3521.8052304258526
950,3498.441973499553
960,3479.0424825421674
970,3444.6044080893726
980,3429.164348773608
990,3403.6898311843916
1000,3383.6484448620545
