sample,t_value
1,-22.021990949763328
2,-14.330713160209784
3,-15.846412232881338
4,-15.458856940955114
5,-17.330913877732783
6,-16.67020209106495
7,-14.084402717596294
8,-15.57837086920697
9,-19.803440362022975
10,-16.74923676972336
11,-17.165915951766245
12,-18.914892902180117
13,-20.66552228782836
14,-12.17535454875736
15,-15.153278315643504
16,-14.943182387810724
17,-16.571188611344468
18,-16.839286104740804
19,-17.097518279449822
20,-17.301115823034667
21,-13.576075722561106
22,-15.322302355829676
23,-12.006516007583608
24,-16.319739771769733
25,-16.899577848097312
26,-12.607667354475018
27,-14.352963533819713
28,-14.089276191728562
29,-14.122926375338618
30,141.6719346753131
31,132.8601928145144
32,130.85984884295652
33,106.13417601078866
34,111.00257427893
35,73.2713696833531
36,49.85461727166171
37,26.788310836925604
38,20.90076084383568
39,4.761792387957276
40,-2.540522881537281
41,-9.833546480549058
42,-6.547429988872025
43,-11.561911987536579
44,-17.884337198596608
45,-24.566100219583625
46,-19.12563895786567
47,-22.30394808802724
48,-21.08502377710201
49,-31.204487687173277
50,-25.605297690754387
51,-21.340445740782332
52,-22.377855714248838
53,-23.221443499677832
54,-21.395964360708398
55,-22.896216823389466
56,-26.72155300537834
57,-23.307697004905876
58,-23.226617783378554
59,-26.577260408988316
60,-22.408397996190676
61,-25.424393465384874
62,-21.393005174820964
63,-23.430479851372013
64,-22.02678234614902
65,-21.374582295390983
66,-20.97607287554905
67,-22.454926652545474
68,-29.692629797301706
69,-23.78257005357211
70,-27.44929400969105
71,-21.560826862257777
72,-19.485265700502367
73,-24.083124125017736
74,-22.54930393778093
75,-25.134232779633475
76,-18.636716191279447
77,-21.94886625749835
78,-24.125559347336186
79,-23.990328166169576
80,-21.170178507747526
81,-23.757204562264242
82,-24.846028827523693
83,-21.190029022794114
84,-22.304173283371863
85,-21.296688795059488
86,-27.56696767914265
87,-19.916627631467833
88,-19.22297501195267
89,-21.604135082810892
90,-22.138828001109285
91,-20.826323434027007
92,-18.664498810663172
93,-20.18753998739633
94,-21.27096090122709
95,-19.12666389416575
96,-19.967254386068937
97,-19.206996676287368
98,-21.844483437830082
99,-22.127259348899802
100,-22.250259156754446
101,-18.696880830395347
102,-15.56470510725042
103,-18.154646903015195
104,-17.66766036288157
105,-20.33754920813548
106,-24.887656039770203
107,-19.58342303703698
108,-21.071364504759746
109,-22.197050083977015
110,-17.355743690592334
111,-17.70972129828758
112,-16.53568922198673
113,-17.792684972462517
114,-20.180840379073143
115,-18.221787106060344
116,-16.56837825059629
117,-17.811895526859338
118,-17.060048403737813
119,-17.485192490333628
120,-14.506503291980456
121,-18.188306248304723
122,-15.457068459813826
123,-16.44002336228544
124,-16.47485483040417
125,-17.91511576088433
126,-16.176221427137843
127,-15.804829387686354
128,-14.554632182240686
129,-18.366630349491885
130,-18.71195764600502
131,-17.384707992663955
132,-13.409691330091281
133,-13.252680225878251
134,-15.129318926150452
135,-13.982966567568447
136,-15.657015054634924
137,-11.571538682120353
138,-15.087443964121489
139,-13.49584970805647
140,-14.116207163565493
141,-15.106279977748907
142,-13.120339971080679
143,-14.760598485228677
144,-12.2358326519602
145,-16.8628356219788
146,-16.7524221725728
147,-11.668339954072856
148,-14.451459724790096
149,-13.295428055883718
150,-10.038093703954408
151,-11.642076368990967
152,-11.903317971522654
153,-12.42399172284955
154,-12.917330042261192
155,-14.298893748539207
156,-11.907268173501082
157,-11.946579630136192
158,-13.894530459419746
159,-14.853983272454238
160,-10.938630400578012
161,-11.621132712488818
162,-12.487727587858277
163,-9.794485523023054
164,-9.936753743410959
165,-12.905792677173595
166,-12.19590435842146
167,-12.259102155844865
168,-12.09950266329328
169,-11.97792586143938
170,-12.351755197187373
171,-11.773434674219823
172,-13.472013208986533
173,-11.752508319432533
174,-12.479436852236367
175,-11.966763892019522
176,-9.377283964753591
177,-9.928528529152052
178,-12.180164982947673
179,-11.800886757582512
180,-12.025881050519148
181,-13.449391865412162
182,-10.445156896195389
183,-11.036716928374082
184,-8.102825911659187
185,-11.693179008219149
186,-12.208596450006748
187,-10.08308785212927
188,-8.544390572420134
189,-11.878205359516064
190,-10.020858381231559
191,-8.105846223325397
192,-9.975596687962957
193,-11.683485702640386
194,-12.987187454021518
195,-10.934305437796828
196,-9.168080439624992
197,-10.821187417441735
198,-9.788254110151595
199,-10.0780636562364
200,-10.185943800036311
201,-10.169261614569333
202,-10.992177246767634
203,-9.238405341335035
204,-9.603057219384294
205,-10.465525989674608
206,-10.657854642677549
207,-10.553359477751448
208,-8.446089080083954
209,-10.465078188223313
210,-9.983887502398796
211,-10.307988819474296
212,-9.135631980856452
213,-8.949911594789317
214,-8.688691343988193
215,-8.833127237758111
216,-9.524394253462859
217,-8.804972046987318
218,-7.774887175473243
219,-6.666885521388557
220,-8.792035344327472
221,-7.302225785948026
222,-7.688299641958645
223,-8.248200780414093
224,-7.152005517881852
225,-8.541482742415402
226,-10.929927697661354
227,-7.148386530069127
228,-8.028709949992328
229,-8.946780039650115
230,-8.527131122345214
231,-9.534928469799302
232,-8.338758798008504
233,-6.871029991787422
234,-8.7163352289466
235,-8.51430226679282
236,-7.505489703187662
237,-11.129656970169194
238,-9.29945275503672
239,-8.244009006430707
240,-7.6575547429361555
241,-7.785112395262463
242,-9.540708918066473
243,-7.209541789941657
244,-6.883772561695132
245,-7.612004744729724
246,-6.75729555443225
247,-7.440621127077194
248,-6.801372419264379
249,-7.210198969359892
250,-7.837188349390834
251,-6.481882441825503
252,-7.188932028682576
253,-8.404129279880216
254,-7.182108121361506
255,-7.0676040396076685
256,-6.98996069699134
257,-6.571101984745083
258,-8.01631751359626
259,-9.482996974714933
260,-8.635524078459294
261,-7.366005216088225
262,-8.873385377188733
263,-5.625667477718492
264,-6.843123203315956
265,-5.769027629944235
266,-7.185803470481484
267,-8.867264864443515
268,-8.459863986455373
269,-6.771677759681876
270,-6.125676196371671
271,-7.535923739594821
272,-5.087238753309519
273,-6.216911188494551
274,-7.3636555943747295
275,-7.699563920152889
276,-5.239624626680486
277,-6.937659626599073
278,-6.38873259153701
279,-6.002779894032061
280,-5.225636851518618
281,-6.036115003054094
282,-6.525918670752029
283,-6.412083879854899
284,-6.466008800582022
285,-6.01882963030929
286,-6.244370281553763
287,-4.259987832001225
288,-6.3289965037716565
289,-5.113689251348097
290,-6.76160091109524
291,-5.800007509064614
292,-5.936763803619925
293,-5.811646059187478
294,-5.630907541111687
295,-6.456680903762346
296,-5.73380867808299
297,-7.098756120728113
298,-5.2636189668219995
299,-5.118172430087867
300,-4.912364511441262
301,-6.952925293133996
302,-5.4049535346833695
303,-5.487273789735922
304,-6.083018631327649
305,-6.500192401805548
306,-7.590019645999208
307,-5.598363843511745
308,-4.563607484425381
309,-7.023015159983198
310,-4.014968703681197
311,-5.254746971067256
312,-5.3757707879202625
313,-6.1425618815638545
314,-4.670559672291001
315,-4.704059583687639
316,-5.116514710595861
317,-5.754075162661729
318,-4.556648931616401
319,-4.77336738875158
320,-3.542576014721441
321,-5.321110924767256
322,-3.0878389249024636
323,-5.364718313105041
324,-4.749433677779851
325,-5.848188171392198
326,-3.0306585804912953
327,-5.169586327804825
328,-4.882760767589322
329,-5.4056209826896815
330,-6.8188548260146185
331,-5.642489317965791
332,-5.019762207787842
333,-6.420929613443295
334,-3.8544925349927652
335,-4.924297557222763
336,-5.08463373238225
337,-4.81011806123133
338,-5.2154809438555025
339,-5.208448480403478
340,-5.693067549034783
341,-4.232631543508773
342,-5.129086610101192
343,-4.7496274817410855
344,-5.6614838058401995
345,-5.527257373589447
346,-4.113958718435566
347,-4.39157576008796
348,-4.37964613245073
349,-6.1260120236324545
350,-3.5958482268460212
351,-5.119938289796347
352,-5.602442360420061
353,-5.346764805658104
354,-4.4239725503330565
355,-4.934142379540311
356,-4.830466292594956
357,-4.531966928812364
358,-2.511325395160171
359,-4.745021451744954
360,-4.6277696975303755
361,-3.3554926271626253
362,-3.119037414678177
363,-5.122692670686197
364,-4.336300549658856
365,-5.0507597546478005
366,-5.046057077513284
367,-4.868082005628611
368,-4.662991442255513
369,-5.562072407464639
370,-4.668350767265652
371,-4.207678503008217
372,-3.583496930885762
373,-4.1723593428273125
374,-2.6697385723790656
375,-3.678806571817303
376,-3.4950592251174415
377,-4.198466874018073
378,-4.55991453795699
379,-3.7796530797363754
380,-4.880266540879807
381,-4.318392414663186
382,-2.7603438487323944
383,-3.210555248657397
384,-3.553244083110619
385,-3.563682015791694
386,-3.932275838345222
387,-4.894393623349724
388,-3.962658058233088
389,-3.9692125133305516
390,-3.696791654131398
391,-3.2700194353824825
392,-4.041440651078675
393,-3.011776118382393
394,-2.8275008924448786
395,-4.665755982669334
396,-3.359130590905719
397,-5.178928058994176
398,-1.790621213983255
399,-4.105201104983195
400,-3.5481437997790555
401,-3.955623461664246
402,-2.924549374730153
403,-3.7511620376543457
404,-3.5711212565276873
405,-2.938032623538324
406,-3.4204328323844813
407,-3.181318408743404
408,-3.3054104814503593
409,-4.199652280775041
410,-3.0938578866054245
411,-2.8787360826752004
412,-3.8444247338904396
413,-3.4574843640765116
414,-1.2846640420104898
415,-2.112484725163683
416,-2.0347650555864423
417,-4.178690782276044
418,-1.5100588135300919
419,-3.5739409969488376
420,-2.904461002636901
421,-3.506084566272409
422,-2.713576002491336
423,-3.725742844545897
424,-2.501629721709428
425,-2.8847397705025646
426,-5.009193811359321
427,-2.861616057767908
428,-2.568498665893342
429,-3.3178178367821465
430,-3.7967371771259764
431,-2.876010382617708
432,-3.476938665656466
433,-3.0985462487276316
434,-3.9779348791028504
435,-3.006702273487862
436,-3.3560896352582565
437,-3.313146635474857
438,-2.5913901821233485
439,-2.757888301032807
440,-1.674239277794507
441,-3.554747972595495
442,-3.007018298855794
443,-3.0675353365566402
444,-2.115164685584658
445,-3.7013044832803828
446,-3.502309244181222
447,-2.9137923804359107
448,-1.9325171417838862
449,-2.235596376373398
450,-3.69659798251446
451,-3.191551482641834
452,-2.484369482840704
453,-2.7401175105549918
454,-2.5948248346541436
455,-2.2536255752333103
456,-2.235231250180087
457,-1.928331912390789
