"sample","t_value"
1,-6.4471265067308
2,-4.97386878840327
3,-8.31728365213862
4,-8.25423791962512
5,-8.17507099158499
6,-7.66925710398005
7,-6.76250159549448
8,-8.38177923311555
9,-7.85321635519217
10,-5.46449169110369
11,-7.13182478336861
12,-8.06937310088314
13,-7.03150761305327
14,-3.72445973344019
15,-6.46576365222176
16,-6.73614349283234
17,-8.43317170966959
18,76.2666509645907
19,76.5026003087722
20,73.1357120614008
21,66.9101147558781
22,72.7617863713103
23,54.7398395831079
24,40.0844309497039
25,23.3243822047527
26,27.5500309522762
27,11.5690755824878
28,5.60090485219075
29,0.835336125718684
30,2.56559307775265
31,-1.81334860644042
32,-7.52940306472812
33,-9.8989687924157
34,-6.22988053982186
35,-11.2330307138105
36,-13.949433969884
37,-16.6100683343607
38,-5.95450538318715
39,-12.9004144616002
40,-14.1545810342692
41,-17.3079743975793
42,-9.78726788407294
43,-17.2195593115631
44,-17.3115580436967
45,-15.7322316803863
46,-9.30086087888492
47,-16.6223992710832
48,-16.5750746945261
49,-16.8223660759306
50,-13.609153849586
51,-16.5751615063934
52,-16.2334708416665
53,-14.2594893459942
54,-18.3409336023009
55,-13.3072438491719
56,-13.3736361625299
57,-12.5596245749769
58,-16.6339266639986
59,-12.9145978022072
60,-13.119368189773
61,-10.953410393518
62,-14.6595751401281
63,-12.5312269118031
64,-12.4876573337117
65,-11.6065712126499
66,-14.8386297702447
67,-12.0569216324435
68,-12.6025298245157
69,-11.2441364672854
70,-15.0262185551493
71,-13.5425981889571
72,-11.2277176561232
73,-10.9712425557974
74,-14.7075725117736
75,-13.082430263603
76,-12.0026335080765
77,-10.0389373492452
78,-13.5964877995007
79,-14.8466773309743
80,-12.6888027179471
81,-9.96902713893464
82,-4.30923297596474
83,-3.50444193650896
84,-5.80370336781995
85,-5.82867559546427
86,-4.91909635365249
87,-5.56929123729013
88,-5.39097661329155
89,-6.28844637531388
90,-8.69864498550888
91,-8.69324842863802
92,-8.69619952224241
93,-8.69619204228971
94,-10.1230443024347
95,-9.23491146268422
96,-8.58088483237938
97,-9.10900817098436
98,-13.2552456605314
99,-11.3853833620282
100,-9.95227227772551
101,-9.82955591873835
102,-13.0261657207063
103,-9.98950840958571
104,-9.98958100727719
105,-8.95993598302327
106,-11.2979253632165
107,-9.21421440066518
108,-10.0346189857955
109,-9.19019388209939
110,-10.7032874714095
111,-9.36967309047449
112,-9.26805357807688
113,-8.97304990339127
114,-10.1707083472189
115,-9.24134869651287
116,-9.19882813902548
117,-9.07096144234791
118,-8.09501329340571
119,-11.3443358952669
120,-9.01460338307454
121,-10.8124737203857
122,-6.81863335155846
123,-9.47866249260371
124,-10.4179538657003
125,-8.45446611000003
126,-4.40143133290469
127,-6.35320467199354
128,-8.90299403903118
129,-8.87564706285697
130,-4.55776652455463
131,-6.54845982883813
132,-8.64767347624317
133,-8.97712868734815
134,-6.98276030294464
135,-9.01471215209911
136,-7.73517877726435
137,-7.6584637289891
138,-6.32439374019946
139,-9.33980910961012
140,-7.33770949593106
141,-7.84761915699133
142,-5.61154821352132
143,-9.42911310326928
144,-7.21414304490443
145,-9.202736500832
146,-5.22697720497769
147,-7.37384041120876
148,-7.00028039092693
149,-9.2762875776937
150,-6.0161599701414
151,-6.05238258989023
152,-8.12870064527585
153,-6.88748014215187
154,-8.97124215483029
155,-6.99021688413713
156,-6.88736579845412
157,-6.67083867605952
158,-9.01763496637448
159,-6.99071650578237
160,-6.75374376837737
161,-5.93845715367099
162,-8.13037179208373
163,-6.9794326077883
164,-6.47415017343674
165,-6.76983344112066
166,-3.62695843158125
167,-7.39796734752226
168,-6.01402285689645
169,-8.1003299434215
170,-2.23978153633599
171,-4.66457755056893
172,-5.13899342154706
173,-6.25957946492962
174,-3.43324605748926
175,-4.62884441417955
176,-6.79620182935177
177,-5.66225489370775
178,-3.44627119211044
179,-6.334244782291
180,-7.44803473866911
181,-5.42139577523184
182,-6.9045528833221
183,-6.37229936260965
184,-6.5179466930442
185,-5.26009199387735
186,-7.23989922506104
187,-6.43235916797001
188,-4.84051583374143
189,-5.63995644722425
190,-5.57705909505502
191,-5.3505295965358
192,-5.75523043710913
193,-4.75324557177635
194,-7.05629430398372
195,-6.03316662608868
196,-5.89927227860707
197,-4.27289244693463
198,-5.51099966898764
199,-6.00659351153855
200,-7.28154274528682
201,-6.42806744862588
202,-3.3809054346246
203,-3.55219793289147
204,-4.7008648567315
205,-7.04229892426252
206,-2.06973393543568
207,-3.70208605100541
208,-4.58152922547859
209,-7.76914416164202
210,-2.75708704548892
211,-5.50155026747381
212,-4.33939294845568
213,-6.00921020392444
214,-1.73659422133184
215,-5.91221120268757
216,-4.83256333677094
217,-6.22856462772474
218,-3.8738127316382
219,-6.05042135264782
220,-5.82076435469637
221,-4.52525215813044
222,-5.62528954794738
223,-3.78851401659542
224,-4.29931483420359
225,-3.09221160179634
226,-4.03790661995535
227,-3.45069637193377
228,-4.12331309430391
229,-3.0690825936845
230,-3.08829197390537
231,-4.70109870278289
232,-4.1505563163583
233,-5.13199507966249
234,-1.61475285631873
235,-4.73288254789046
236,-3.89429131517361
237,-4.42910876225813
238,-4.28332732519433
239,-5.33452038160799
240,-3.41051279804055
241,-3.37021215157169
242,-3.33430297410327
243,-4.58551539125715
244,-3.55373575179683
245,-3.1258092879309
246,-2.95906015834261
247,-1.96688152818564
248,-4.29479684271517
249,-4.4842583840328
250,-3.46825534705535
251,-4.04404381069177
252,-5.10052730003978
253,-3.65457363773926
254,-4.51688971924277
255,-3.10613150538725
256,-4.12121035793018
257,-3.5017382335562
258,-3.97712493225963
259,-3.72098516323811
260,-3.85075704021268
261,-3.47720623663738
262,-3.29172828675105
263,-4.73413559507722
264,-2.94119379546907
265,-3.3555408260022
266,-3.48617465371807
267,-3.7730050871527
268,-4.89603259093967
269,-3.15739644719326
270,-3.21318405602873
271,-3.11677718924196
272,-4.34584546414649
273,-2.73237851822972
274,-2.07028892883178
275,-2.73302506161159
276,-3.76355532892238
277,-2.32027007074723
278,-1.71493849448881
279,-3.11740100927564
280,-2.646436244471
281,-2.63069968637228
282,-1.19802671290368
283,-2.74201480418236
284,-1.59306830103667
285,-3.3958634022038
286,-0.916237596538258
287,-3.00242796382658
288,-1.75363007074137
289,-3.75464060413383
290,-1.41748625454078
291,-3.0794823768593
292,-2.89878897269228
293,-1.96907226869706
294,-3.34412482781262
295,-2.66938465693458
296,-3.5788108717431
297,-2.27480094624004
298,-1.84256428143702
299,-1.70385213164833
300,-2.80979338141981
301,-3.0883122990101
302,-1.50667800727684
303,-2.18341683109703
304,-2.47897979924564
305,-3.7435256924133
306,-1.1356663328554
307,-1.95340330599323
308,-1.92462172123085
309,-3.64246208676019
310,-0.885948970125976
311,-2.68561091528289
312,-2.43955357971133
313,-3.2354805073966
314,-1.37282666849336
315,-2.99073062478611
316,-3.12084989139561
317,-2.77865231027449
318,-1.4882076155332
319,-1.78379858724958
320,-4.65223496348071
321,-1.38866696368989
322,-3.97695941646127
323,-2.73909884654014
324,-2.64951676584434
325,-1.59054993903309
326,-3.67934543933152
327,-3.16312811800903
328,-1.86784551857369
329,-1.96261102804481
330,-1.85459759523451
331,-3.03101869692651
332,-1.22644845852506
333,-2.74840316307216
334,-0.992232731666528
335,-3.10100999738044
336,-0.93076546456346
337,-1.95233345475808
338,-2.02864251380965
339,-2.79455933111747
340,-1.13970262656778
341,-1.88646999082111
342,-1.14660443726094
343,-1.09236760189472
344,-2.14121135341694
345,-2.59786061486627
346,-1.75222039739433
347,-1.53277267117594
348,-2.89814990009665
349,-2.47082431692561
350,-2.36130094185487
351,-0.922118547010415
352,-2.04505091876986
353,-0.85684572993341
354,-1.35509314416144
355,-1.47694468313509
356,-1.00217692303062
357,-2.0754971622824
358,-0.442501366631868
359,-1.21216412253607
360,-1.01974710076164
361,-1.23608962797312
362,-1.16285788677755
363,-2.17823097238124
364,-1.38053444762137
365,-1.81537291359405
366,-0.917184306728641
367,-1.46947001625812
368,-3.29433274175008
369,-1.3894270592729
370,-1.29636462149859
371,-1.15897780174621
372,-1.6598985921159
373,-1.33936324123174
374,-2.33358651705493
375,-1.40292218272263
376,-1.76911431479392
377,-0.814543175425286
378,-2.7805202391591
379,-1.94161010560317
380,-0.536691510829284
381,-1.76940131535668
382,-1.54523509871296
383,-2.51549960608456
384,-0.69543151150638
385,-1.34444871907361
386,-2.61047241417992
387,-2.89717609400784
388,-0.444473429818632
389,-1.91727409308462
390,-2.27038119109237
391,-1.68479450308038
392,-1.25809285137995
393,-2.0845026649813
394,-1.73874552156187
395,-0.359973155244445
396,-2.21669114769826
397,-1.74075520951645
398,-1.25541448370345
399,-0.425243544009724
400,-0.918677252137448
401,-1.84641446272714
402,-0.554754669180434
403,-0.688844863130649
404,-0.460823736690551
405,-2.37919681841273
406,-0.233099418818303
407,-1.38061437693355
408,-0.0581396251717392
409,-2.60721332372702
410,-0.577372488096139
411,-1.58569104250162
412,-1.80927809512784
413,-1.59717389501189
414,-1.76960537790957
415,-1.27847286619335
416,-2.10266108025396
417,-0.794242058955882
418,-1.81893576969042
419,-0.900042766875369
420,-2.15091035571855
421,-0.982863395629736
422,-1.80106571954019
423,-1.7482081654895
424,-1.01508339455491
425,-0.493112908132195
426,-1.12148596721283
427,-1.69471050068432
428,-0.450203582902148
429,-1.48257630602302
430,-0.602713583511161
431,-1.68073314843037
432,-1.03463189029413
433,-2.42856824587337
434,-1.38092097607417
435,-1.20507946973571
436,-1.62479835332271
437,-1.17847602946123
438,-1.4507273231567
439,-0.983920972376313
440,-1.96568174516858
441,-1.11393015916418
442,-1.50342273177591
443,-0.582111529971917
444,-1.82560144886972
445,-1.41765686738917
446,-1.27730371341716
447,0.264196096237147
448,-1.72954231073666
449,-1.76448861041494
450,-0.800978356488001
451,-0.93926494081379
452,-1.38798708783513
453,-2.12500658388171
454,-0.223994660756492
455,-2.07352491383249
456,-1.18446468067582
457,-1.50130122862274
458,-0.887899389972605
459,-3.44945766676333
460,-0.648760550615248
461,-1.884007538391
462,-0.936278380091892
463,-2.17851933052666
464,-1.77978796972425
465,-1.62888962080146
466,-1.467104402714
467,-1.584408006915
468,-2.43822879596122
469,-0.315240927299959
470,-1.76573812124054
471,-1.07804979883297
472,-0.748970384187955
473,-0.760343778970971
474,-1.79767879681098
475,-2.15503999585966
476,-1.69606814849933
477,-1.36665978251466
478,-0.883648029160578
479,-1.80902674175748
480,-0.687119308250467
481,-2.31818835182438
482,-0.00638676980016564
483,-2.09696413966015
484,-0.362015828521226
485,-1.61466191604562
486,-0.660190807629949
487,-0.980590170420361
488,-1.18016192283199
489,-0.954571461463753
490,-2.42236787956369
491,-0.519177532536768
492,-1.55902082422404
493,-1.2870840482714
494,-1.36630188103494
495,-0.172591868691566
496,-0.863004237501822
497,-1.34200812742649
498,-1.06785827343749
499,-1.03667787260434
500,-2.17965207131617
501,-1.53236317535769
502,-0.322701697972945
503,-2.29414012444615
504,-1.46848429972113
505,-1.60145523853325
