"sample","t_value"
1,-5.10060592650097
2,-5.37296906227864
3,-6.59940851863819
4,-6.38806231109376
5,-5.31546642946874
6,-6.99633459870899
7,-5.20455799852965
8,-6.49824467123512
9,-7.24229935411477
10,-4.29256637479047
11,-4.57833876261362
12,-5.48333064907101
13,-5.79129809832462
14,-3.96442503041343
15,-6.08124325784518
16,-5.81170087491178
17,-7.03280744972935
18,73.8982665071697
19,73.4108782346344
20,72.4942357104682
21,64.0205686742706
22,67.904924028269
23,49.3983515500089
24,36.0711662970897
25,22.4523875712765
26,22.3920552640327
27,10.7653577746349
28,5.60365407701305
29,0.485760924552626
30,1.53354672400026
31,-1.42970930789477
32,-5.1842915499727
33,-8.5492204970428
34,-6.54275095824372
35,-11.1790343622832
36,-13.7607905731303
37,-14.8816072763383
38,-7.21314409919701
39,-13.521178977802
40,-12.8732046127962
41,-17.0083229671074
42,-10.4170457590244
43,-15.32349240611
44,-13.052102017718
45,-13.3513482805089
46,-15.1255989020217
47,-13.8607263233182
48,-12.3634048410613
49,-12.2305041128596
50,-15.1719191852597
51,-12.6470526719541
52,-12.5002600155753
53,-11.2327986024611
54,-14.7433502267754
55,-12.3900412607175
56,-11.0145768364903
57,-11.2623931967378
58,-15.2260842686207
59,-11.7071373843451
60,-12.4765433290506
61,-11.1486606700493
62,-14.2684049123457
63,-12.1736077864662
64,-11.919913047124
65,-11.4200904896435
66,-12.413078203694
67,-11.4764589535195
68,-11.7880425968406
69,-11.1550294197345
70,-12.4272230421615
71,-12.5150329961543
72,-11.8764191076899
73,-11.3737610273662
74,-12.1192845070641
75,-11.7107781467061
76,-11.6191360487795
77,-11.0216521310967
78,-12.5085967781267
79,-11.5294700963149
80,-12.2421761626132
81,-10.5982867455334
82,-1.84556806371999
83,-3.65148112695593
84,-5.24246694883173
85,-5.91191791800563
86,-4.1766300953051
87,-4.84216998661982
88,-6.46439950155573
89,-7.38433082861199
90,-6.83033182672003
91,-10.7293057861275
92,-9.41164634178292
93,-11.0984379687289
94,-9.64209866940875
95,-11.4084315689206
96,-10.960121850413
97,-10.9996878055803
98,-10.8952697650123
99,-11.0596243106
100,-11.1852088766617
101,-9.60000983586599
102,-11.1317939691926
103,-9.84902154335508
104,-10.8152595419109
105,-9.65037215881061
106,-9.27366875679828
107,-12.3433979576488
108,-11.0086722585041
109,-12.1083063150259
110,-7.57247748477476
111,-11.2934380496374
112,-9.97026348620853
113,-12.1777394912552
114,-6.62732171234502
115,-11.015606308036
116,-10.5910842949625
117,-12.8574067247787
118,-9.73679630821383
119,-10.4642047330251
120,-10.2426105955722
121,-9.77779546700679
122,-11.9719160455676
123,-10.0255944352916
124,-10.5582160336399
125,-8.95264016770172
126,-11.5843047028398
127,-9.56790266663223
128,-10.8809213462222
129,-9.33708460303046
130,-9.83692079962716
131,-8.26841199187169
132,-9.54894884464042
133,-8.6823364008411
134,-6.40906487987176
135,-10.3074113999078
136,-9.57923697417678
137,-10.910496684145
138,-3.13090510270906
139,-6.71099340367175
140,-6.45288924771975
141,-10.409276183442
142,-4.09547884466448
143,-7.63501869334066
144,-7.52898657971082
145,-9.38698445486068
146,-5.84626689630612
147,-7.61874949633974
148,-7.49131436606056
149,-8.6101411185969
150,-4.45166836287253
151,-6.92456014559309
152,-8.33732084918414
153,-8.03511640765842
154,-7.7310597531602
155,-7.57150183848228
156,-8.18060025370587
157,-8.22767308878902
158,-8.74565072026495
159,-8.18049435916376
160,-7.51555158529672
161,-7.16803801528915
162,-7.62275462351733
163,-7.18420218438335
164,-6.04704896904502
165,-7.85741516065218
166,-7.46611487026342
167,-6.70455997549934
168,-6.775788510892
169,-7.15138346198426
170,-7.10188584408334
171,-7.46644558644634
172,-7.81728377441185
173,-6.01335341850181
174,-7.64580171402032
175,-5.48640090136156
176,-7.18672999553928
177,-6.21461118488464
178,-4.03454776868635
179,-7.05586673353075
180,-7.78247655018234
181,-7.75547986610314
182,-4.70462360887401
183,-7.05833635799267
184,-6.62827339199076
185,-6.7723173026265
186,-3.85769241515258
187,-6.73871131903832
188,-7.06527899653721
189,-8.87303091766597
190,-3.97416488442787
191,-7.72947166293296
192,-6.7897223826837
193,-8.26342124547205
194,-5.617091216563
195,-6.80373581262086
196,-6.42823403334974
197,-5.29849096945708
198,-5.38166669535231
199,-6.05960327202267
200,-7.08257372622347
201,-6.51698136203133
202,-4.81786916654864
203,-5.50657600134466
204,-7.26807831978702
205,-5.38656009441299
206,-3.8873859668036
207,-5.68893728929943
208,-5.94679940560757
209,-6.02940546218618
210,-4.64754647092647
211,-5.28242724453452
212,-5.57020262873182
213,-6.04837166457964
214,-4.43097660679103
215,-5.16852076168233
216,-5.3293411349428
217,-5.36504464077828
218,-5.4173799384918
219,-5.34923755161241
220,-5.42262855511312
221,-5.11545981761262
222,-5.44409797673186
223,-4.52471458447016
224,-4.43303554468401
225,-3.89012460736504
226,-5.02772437404414
227,-4.43973138724218
228,-5.18112742622576
229,-4.56826824711827
230,-3.78262751006133
231,-5.05169735096945
232,-5.0583206061879
233,-6.07588104725165
234,-2.30547655862818
235,-4.66758905165518
236,-4.31354209062232
237,-6.79036548467162
238,-2.93551869635497
239,-5.19952993801548
240,-4.71497485141271
241,-4.89413366322143
242,-4.65421554837738
243,-5.88119530033528
244,-5.19796836620428
245,-4.64511142011876
246,-3.17581001226079
247,-4.22673197249169
248,-4.30933124693108
249,-4.33085155707123
250,-4.1159795656122
251,-4.45981328296059
252,-4.30474656045269
253,-4.56183456860787
254,-5.20771878380775
255,-4.40519482246783
256,-3.52336652676065
257,-4.09777376333413
258,-3.64427887923134
259,-4.31291536107679
260,-3.80540297171695
261,-4.83409025720183
262,-2.7754208794291
263,-3.17467863154494
264,-3.53084572263903
265,-4.51208261627522
266,-2.91121875739556
267,-3.8381136208672
268,-4.93428279878392
269,-2.96647040787919
270,-3.37159063519624
271,-2.5056873549948
272,-3.37357565102935
273,-2.70765677963792
274,-3.7342634880735
275,-3.33348399120878
276,-3.40731686652452
277,-3.31347167795586
278,-3.3989641973322
279,-3.17783909127849
280,-3.75755201766764
281,-2.9952582557237
282,-3.75990813190128
283,-4.54080937169124
284,-3.73201240788398
285,-3.09023338144517
286,-3.21907702949037
287,-3.58833414791596
288,-3.62329024622153
289,-3.39733731485484
290,-3.13013164483344
291,-3.80117746337206
292,-2.46570784929951
293,-2.16755560448895
294,-1.75362270492409
295,-2.11092896096983
296,-2.4810643790363
297,-3.31079982656499
298,-1.71269478088475
299,-1.89775820775204
300,-2.06659538310943
301,-4.12748033581681
302,-1.60546205419035
303,-2.22601363684115
304,-2.43267626961487
305,-4.41826055232396
306,-1.91951339320495
307,-2.84666177876783
308,-1.97862429048083
309,-2.64542128621218
310,-1.50263907351422
311,-2.09110872423175
312,-1.94369185897176
313,-2.41171523314122
314,-4.18097955788704
315,-3.25394078550078
316,-3.59599391904601
317,-2.35202367158942
318,-3.37757874879687
319,-2.6177609304831
320,-3.12901982084225
321,-2.66832213759125
322,-2.04692682647922
323,-1.73154139831385
324,-3.46439814634107
325,-2.04666785453849
326,-2.87626312130587
327,-1.81210033793808
328,-2.59778294579839
329,-2.23128323748123
330,-1.01392030716019
331,-1.89969401461541
332,-1.88224358653351
333,-2.05885337137043
334,-0.803016286700203
335,-2.11591864492076
336,-1.00003896135732
337,-2.38690996145252
338,-1.40261653723168
339,-1.96987305652575
340,-2.10665212427676
341,-2.15206962359465
342,-1.57542187498638
343,-1.74398364996241
344,-2.50785158649871
345,-2.36512851092421
346,-1.61448040137723
347,-1.61694012946457
348,-2.30268528572145
349,-2.46344696458283
350,-1.94648096236776
351,-2.05106800068274
352,-2.34805696842174
353,-1.46981502469838
354,-1.6252523977235
355,-1.9427143711112
356,-1.93592000275422
357,-2.62833000249717
358,-0.549194248288968
359,-1.82180323489228
360,-1.83062084007362
361,-1.41382807031083
362,-1.23543380022792
363,-1.24507211006136
364,-1.71503902188897
365,-2.20024355284211
366,-0.82585509895184
367,-1.43337247148361
368,-2.75969866396782
369,-1.38281827492173
370,-1.28105536861163
371,-1.48112519523181
372,-2.43808695591722
373,-2.1876319001722
374,-1.30968052640037
375,-1.17027211245327
376,-1.40838444639461
377,-1.73955889639588
378,-0.694220193833307
379,-2.06562039964746
380,-1.82766357303229
381,-2.61104960607936
382,-1.29633470218732
